Symbol,Market Cap,Short Float,Shs Float,Shs Outstand
NFLX,236.57B,2.04%,436.80M,443.22M
NFTY
NGAC,465.93M,6.46%,28.12M,46.88M
NGACU,-,0.00%,34.42M,-
NGCA,400.58M,-,-,38.26M
NGCAU,-,-,-,-
NGM,1.62B,4.56%,54.18M,76.03M
NGMS,1.52B,5.68%,5.53M,24.98M
NH,255.19M,3.90%,45.87M,111.32M
NHIC,217.06M,0.38%,14.30M,21.56M
NHICU,-,-,-,-
NICE,15.86B,2.15%,62.73M,63.09M
NIU,2.45B,2.97%,66.52M,86.64M
NKLA,6.69B,25.02%,172.47M,392.19M
NKTR,3.19B,10.13%,180.73M,181.37M
NKTX,1.01B,6.73%,29.31M,32.74M
NLOK,15.77B,3.36%,574.13M,583.00M
NLSP,37.81M,1.12%,6.03M,12.06M
NLTX,409.06M,7.95%,32.89M,54.94M
NMFC,1.31B,-,-,96.83M
NMIH,1.94B,2.77%,84.59M,85.32M
NMMCU
NMRD,231.85M,10.23%,8.80M,22.93M
NMRK,2.31B,1.41%,168.94M,183.25M
NMTR,279.00M,5.11%,180.50M,211.28M
NNBR,320.03M,2.93%,42.21M,42.67M
NNDM,1.99B,15.00%,184.82M,258.53M
NNOX,1.51B,19.07%,34.45M,46.84M
NOACU,-,0.00%,22.30M,-
NOTV,423.03M,1.01%,9.86M,11.15M
NOVN,184.31M,0.85%,142.40M,151.65M
NPCE,591.07M,10.34%,1.85M,25.71M
NRACU,-,-,-,-
NRBO,67.29M,7.48%,6.41M,21.62M
NRIX,1.22B,15.47%,27.94M,38.78M
NRXP,641.06M,1.31%,7.68M,47.46M
NSPR,39.11M,1.90%,5.60M,7.85M
NSSC,654.93M,6.96%,14.46M,18.35M
NSTG,2.88B,9.44%,44.31M,44.67M
NSYS,20.94M,0.92%,1.20M,2.66M
NTAP,18.30B,3.65%,222.52M,223.22M
NTCT,2.13B,4.15%,70.69M,73.55M
NTEC,16.83M,5.86%,4.69M,4.82M
NTES,76.30B,1.27%,361.88M,669.93M
NTGR,1.15B,12.85%,29.84M,30.66M
NTLA,11.70B,9.96%,60.86M,67.18M
NTNX,8.10B,3.52%,201.74M,207.72M
NTRA,10.21B,8.13%,84.49M,86.69M
NTRS,24.21B,1.07%,207.37M,208.11M
NTWK,53.50M,1.49%,9.58M,11.34M
NUAN,15.61B,14.52%,284.17M,285.28M
NURO,12.98M,0.96%,3.77M,3.80M
NUVA,3.50B,6.74%,51.34M,51.38M
NUWE,26.81M,1.13%,5.27M,6.53M
NUZE,55.19M,0.49%,11.50M,15.26M
NVAX,15.99B,7.90%,73.34M,74.09M
NVCN,60.07M,3.15%,56.50M,67.50M
NVCR,19.62B,6.01%,89.55M,102.63M
NVDA,503.69B,1.25%,597.92M,621.00M
NVFY,17.39M,0.14%,3.48M,5.60M
NVIV,26.10M,6.89%,34.25M,34.26M
NVMI,2.84B,2.96%,28.13M,28.21M
NVOS,64.20M,0.06%,7.97M,23.75M
NVSAU,-,-,-,-
NVVE,257.31M,4.64%,14.73M,18.71M
NWBI,1.75B,3.11%,120.48M,126.18M
NWE,3.09B,1.13%,49.91M,50.63M
NWL,11.67B,2.28%,421.74M,424.90M
NWS,14.39B,0.23%,508.49M,588.30M
NWSA,15.17B,1.71%,509.75M,590.80M
NXGN,1.11B,2.52%,54.43M,67.02M
NXPI,55.66B,1.31%,275.00M,277.53M
NXST,6.47B,4.94%,41.07M,43.30M
NXTC,296.99M,6.30%,17.47M,27.60M
NXTD,45.82M,5.40%,46.02M,48.19M
NYMT,1.71B,2.50%,376.21M,378.88M
NYMX,122.81M,9.38%,43.32M,77.97M
OAS,2.14B,2.52%,18.94M,20.00M
OBLG,100.99M,0.69%,12.66M,17.76M
OBSV,172.10M,1.34%,36.78M,68.57M
OCAXU,-,0.00%,14.95M,-
OCC,28.49M,0.55%,4.79M,7.54M
OCDX,5.06B,2.62%,90.47M,206.20M
OCFC,1.26B,1.26%,58.65M,59.84M
OCG,96.30M,3.76%,14.32M,20.25M
OCGN,1.55B,25.62%,192.50M,198.23M
OCSL,1.23B,-,-,180.36M
OCUL,1.09B,8.50%,75.94M,76.07M
OCUP,67.52M,5.63%,10.28M,10.92M
OCX,519.38M,4.01%,80.54M,82.12M
ODFL,29.92B,1.58%,101.98M,116.50M
ODP,2.70B,8.36%,48.87M,53.00M
ODT,129.81M,9.76%,16.49M,37.40M
OEG,229.81M,12.43%,43.92M,44.56M
OEPWU,-,-,-,-
OESX,173.88M,6.59%,28.03M,30.78M
OGI,814.18M,5.77%,239.56M,298.23M
OHPAU,-,0.01%,38.81M,-
OIIM,197.32M,2.19%,25.64M,28.27M
OKTA,31.92B,5.28%,123.89M,131.78M
OLB,39.82M,4.22%,2.87M,6.30M
OLED,10.33B,1.85%,43.08M,47.27M
OLK,4.18B,9.34%,9.12M,119.01M
OLLI,5.58B,15.99%,56.61M,65.50M
OLMA,1.09B,5.12%,35.73M,39.33M
OM,2.25B,7.34%,32.85M,42.76M
OMAB,2.23B,0.95%,35.70M,48.76M
OMCL,6.42B,6.04%,42.59M,42.96M
OMEG,175.90M,0.01%,14.30M,17.75M
OMER,976.15M,20.45%,59.75M,61.93M
OMIC,1.82B,0.48%,54.28M,65.87M
OMP,1.13B,6.15%,10.97M,22.05M
ON,16.19B,3.00%,421.59M,427.01M
ONB,2.94B,3.91%,163.51M,165.00M
ONCR,365.73M,8.23%,12.23M,24.01M
ONCS,113.20M,1.60%,25.34M,37.34M
ONCT,235.02M,2.91%,43.53M,49.09M
ONCY,145.59M,1.49%,53.76M,54.67M
ONDS,260.63M,2.93%,23.75M,26.67M
ONEM,4.50B,12.63%,110.49M,136.52M
ONEQ,-,-,-,-
ONEW,624.94M,3.92%,9.08M,10.90M
ONTX,106.69M,0.44%,221.88M,236.61M
ONVO,77.57M,10.37%,6.64M,7.65M
OPBK,151.50M,2.63%,11.85M,15.02M
OPCH,3.94B,3.01%,111.87M,179.81M
OPEN,9.87B,6.43%,489.25M,565.38M
OPGN,89.91M,0.50%,35.96M,38.27M
OPHC,15.32M,0.78%,2.22M,3.20M
OPK,2.84B,14.28%,399.77M,640.85M
OPRA,1.18B,0.62%,54.86M,115.12M
OPRX,1.02B,5.88%,14.94M,16.10M
OPT,319.94M,0.34%,22.66M,42.21M
OPTN,159.31M,17.64%,28.83M,53.00M
ORBC,895.73M,5.70%,74.93M,79.07M
ORGN,753.53M,1.43%,72.34M,90.56M
ORGO,2.20B,6.07%,62.45M,127.87M
ORGS,120.70M,7.89%,23.14M,24.19M
ORIAU
ORIC,784.08M,24.79%,22.83M,36.68M
ORLY,40.14B,1.76%,68.84M,70.38M
ORMP,402.28M,7.77%,27.85M,31.03M
ORPH,252.01M,2.60%,28.14M,34.95M
ORTX,517.21M,5.91%,81.79M,114.83M
OSAT,6.31M,8.94%,0.84M,0.98M
OSMT,194.39M,12.66%,20.33M,62.68M
OSN,30.31M,0.99%,2.25M,6.60M
OSPN,1.02B,4.41%,34.88M,40.00M
OSS,104.59M,0.64%,13.80M,17.35M
OSTK,3.88B,9.23%,42.62M,42.88M
OSTRU,-,-,-,-
OSUR,746.25M,9.23%,70.84M,71.88M
OSW,728.41M,24.31%,25.32M,87.12M
OTECU,-,-,-,-
OTEX,13.88B,1.22%,269.02M,272.83M
OTIC,124.59M,2.35%,36.74M,52.32M
OTLK,433.99M,1.50%,89.63M,150.73M
OTLY,13.86B,5.50%,64.99M,600.09M
OTRK,582.01M,39.11%,6.29M,17.62M
OVID,267.81M,7.32%,48.02M,66.09M
OXBR,14.90M,2.41%,4.46M,5.73M
OXLC,780.95M,-,-,103.30M
OXSQ,244.52M,0.23%,46.80M,49.60M
OZK,5.42B,1.73%,126.43M,129.49M
OZON,11.82B,1.56%,200.61M,209.54M
PAA,8.46B,3.82%,470.95M,722.00M
PAAS,6.01B,1.52%,210.03M,210.26M
PACB,6.82B,7.45%,184.89M,194.79M
PACW,4.88B,2.10%,114.45M,116.85M
PACX
PACXU,-,0.00%,35.80M,-
PAE,843.23M,3.84%,62.02M,92.61M
PAGP,2.35B,3.85%,189.12M,194.00M
PALI,28.79M,3.95%,5.65M,7.30M
PANA,177.95M,-,-,17.80M
PANL,221.82M,2.68%,27.02M,43.97M
PAQCU,-,-,-,-
PASG,807.04M,8.74%,47.28M,51.33M
PAVM,524.97M,7.12%,73.40M,73.95M
PAX,2.36B,1.20%,51.75M,136.15M
PAYA,1.45B,5.85%,116.96M,117.81M
PAYO
PAYS,160.99M,4.99%,31.15M,50.35M
PAYX,39.09B,2.76%,322.19M,360.60M
PBCT,7.44B,2.30%,417.99M,419.10M
PBLA,28.61M,3.73%,4.87M,9.89M
PBPB,218.44M,2.29%,20.20M,25.94M
PBTS,82.53M,2.01%,7.90M,45.85M
PBYI,379.00M,10.79%,34.90M,40.26M
PCAR,30.82B,1.48%,341.11M,347.60M
PCB,250.31M,2.53%,12.16M,15.38M
PCH,3.58B,1.70%,64.71M,67.21M
PCRX,2.64B,16.10%,43.65M,43.83M
PCSA,133.57M,0.70%,9.58M,14.58M
PCT,2.87B,11.63%,73.32M,126.66M
PCTI,120.32M,3.56%,15.82M,18.07M
PCTY,10.48B,2.00%,38.41M,54.41M
PCVX,1.18B,8.25%,42.73M,51.17M
PCYG,107.47M,3.75%,12.19M,19.55M
PDBC,-,-,-,-
PDCE,4.70B,7.07%,97.98M,99.70M
PDCO,2.98B,9.07%,85.80M,95.98M
PDD,152.70B,4.47%,546.71M,1.25B
PDEV
PDFS,669.85M,3.39%,29.39M,36.97M
PDP,-,-,-,-
PDSB,341.34M,5.67%,21.51M,22.26M
PEGA,11.24B,5.57%,39.51M,81.00M
PENN,11.94B,8.71%,153.71M,155.70M
PEP,204.76B,0.72%,1.38B,1.38B
PERI,687.35M,1.17%,27.88M,32.15M
PETQ,1.11B,11.47%,26.17M,26.39M
PETS,689.28M,23.17%,19.54M,20.10M
PETZ,146.21M,0.51%,10.07M,45.85M
PEY,-,-,-,-
PFDRU,-,-,-,-
PFF,-,-,-,-
PFG,17.28B,1.17%,270.87M,272.90M
PFHD,251.85M,2.09%,12.64M,13.44M
PFIE,54.70M,0.15%,32.50M,47.99M
PFIN,21.41M,1.99%,1.45M,3.17M
PFMT,200.00M,4.01%,35.14M,54.81M
PFPT,9.96B,8.04%,56.50M,57.33M
PFSW,159.27M,3.55%,14.76M,21.27M
PGEN,1.35B,12.36%,179.72M,193.50M
PGNY,5.35B,3.90%,69.17M,87.40M
PGRWU,-,0.00%,17.40M,-
PHAS,174.98M,21.93%,17.52M,31.28M
PHAT,1.10B,3.90%,26.52M,36.30M
PHCF,43.01M,0.14%,3.77M,11.51M
PHICU,-,0.00%,14.85M,-
PHIO,30.30M,8.44%,13.49M,13.53M
PHUN,96.00M,7.51%,63.20M,64.59M
PHVS,577.02M,1.69%,28.78M,30.52M
PI,1.20B,9.00%,22.81M,23.67M
PINC,4.26B,1.66%,121.29M,122.25M
PIRS,244.41M,7.05%,55.97M,56.30M
PIXY,47.70M,5.76%,7.67M,32.75M
PIZ,-,-,-,-
PKBK,235.43M,2.69%,9.94M,11.87M
PKW,-,-,-,-
PLAB,808.24M,2.53%,59.92M,62.05M
PLAY,1.96B,19.10%,38.67M,47.70M
PLBY,1.45B,20.51%,15.15M,29.82M
PLCE,1.37B,20.29%,13.76M,14.67M
PLIN,61.50M,1.25%,31.22M,40.73M
PLL,1.23B,23.24%,2.62M,15.75M
PLMIU,-,-,-,-
PLMR,1.96B,4.69%,24.23M,25.55M
PLRX,1.04B,5.35%,32.49M,35.65M
PLSE,550.97M,11.04%,12.64M,26.07M
PLTK,9.45B,14.63%,84.22M,406.50M
PLUG,18.93B,9.73%,510.26M,513.46M
PLW,-,-,-,-
PLXP,311.46M,6.36%,16.81M,22.98M
PLYA,1.24B,5.41%,134.60M,160.83M
PMBC,193.09M,0.22%,19.24M,23.56M
PME,81.60M,0.05%,41.41M,79.07M
PMGMU,-,-,-,-
PMVP,1.51B,8.36%,39.65M,44.78M
PNFP,6.80B,1.40%,74.26M,75.37M
PNNT,460.60M,-,-,67.05M
POAI,84.30M,4.53%,48.15M,48.80M
PODD,18.46B,2.80%,65.96M,66.11M
POLA,121.92M,13.36%,7.04M,12.51M
POOL,18.54B,1.88%,38.85M,40.22M
POSH,3.39B,22.39%,15.30M,75.29M
POTX,-,-,-,-
POWI,5.01B,3.26%,60.05M,60.18M
POWRU,-,0.00%,27.60M,-
POWW,1.10B,2.65%,37.72M,53.82M
PPBI,4.04B,1.72%,93.12M,93.53M
PPBT,83.85M,5.77%,16.12M,17.62M
PPC,5.39B,3.13%,47.41M,243.58M
PPD,16.17B,5.21%,216.09M,350.43M
PPGHU,-,-,-,-
PPSI,44.09M,2.16%,3.95M,8.73M
PPTA,386.78M,1.19%,20.42M,51.92M
PRAA,1.78B,7.46%,44.95M,45.67M
PRAX,803.46M,4.68%,31.20M,38.47M
PRCH,1.94B,5.89%,73.58M,96.48M
PRDO,867.09M,7.20%,69.69M,70.15M
PRFT,2.71B,6.94%,32.24M,33.05M
PRFX,29.78M,-,-,10.06M
PRGS,2.06B,4.43%,43.52M,44.11M
PRIM,1.59B,1.72%,48.48M,49.50M
PRLD,1.34B,5.93%,43.33M,45.12M
PROG,206.21M,9.18%,45.18M,57.49M
PRPH,91.10M,2.59%,12.44M,14.56M
PRPL,1.86B,6.30%,57.75M,64.59M
PRPO,81.49M,-,-,17.86M
PRQR,438.38M,3.94%,42.05M,50.81M
PRSRU,-,0.01%,40.62M,-
PRTA,2.33B,10.33%,20.72M,40.25M
PRTG,270.11M,0.62%,4.44M,12.03M
PRTH,521.60M,1.45%,8.38M,67.54M
PRTK,339.78M,10.24%,42.91M,46.66M
PRTS,922.81M,23.94%,35.27M,48.76M
PRTY,1.07B,5.77%,105.28M,110.92M
PRVA,4.72B,-,-,105.73M
PRVB,527.88M,12.18%,47.69M,62.26M
PSAC,438.62M,20.46%,23.29M,29.52M
PSACU
PSAGU,-,0.36%,4.84M,-
PSC,-,-,-,-
PSCE,-,-,-,-
PSEC,3.27B,-,-,387.00M
PSHG,27.19M,9.08%,2.19M,5.01M
PSNL,1.14B,6.83%,35.25M,42.27M
PSTI,125.41M,1.12%,27.32M,29.62M
PSTV,51.91M,1.61%,21.06M,21.11M
PSTX,599.21M,8.15%,37.15M,61.98M
PT,45.10M,5.17%,25.90M,42.61M
PTC,16.71B,1.58%,105.16M,116.78M
PTCT,3.08B,7.03%,68.39M,70.19M
PTE,80.23M,4.03%,67.38M,76.16M
PTEN,1.93B,9.00%,180.76M,187.68M
PTGX,2.20B,11.99%,29.33M,44.22M
PTICU,-,0.00%,19.91M,-
PTIX,39.50M,6.45%,9.44M,10.52M
PTMN,-,-,-,-
PTOCU,-,-,-,-
PTON,36.44B,8.50%,263.06M,295.65M
PTPI,31.40M,1.80%,6.20M,9.75M
PTRA,3.51B,17.75%,27.73M,34.69M
PTRS
PTVE,2.73B,3.32%,42.62M,177.20M
PUBM,259.33M,38.43%,7.44M,19.98M
PUCK,319.96M,0.47%,25.14M,33.16M
PUCKU,-,0.01%,25.14M,-
PULM,57.40M,1.43%,52.72M,56.25M
PUYI,323.29M,0.47%,7.49M,60.31M
PVAC,385.61M,7.20%,15.09M,15.26M
PVBC,298.86M,1.18%,15.82M,17.26M
PWFL,252.68M,3.67%,29.61M,33.26M
PWP
PXI,-,-,-,-
PXLW,176.02M,5.78%,48.37M,51.67M
PXS,32.10M,0.56%,13.47M,22.90M
PYPL,339.50B,1.22%,1.17B,1.17B
PYR,841.85M,1.76%,70.03M,166.70M
PZZA,3.44B,7.48%,31.41M,32.76M
QADA,1.79B,2.86%,11.52M,21.86M
QCLN,-,-,-,-
QCOM,158.82B,1.61%,1.13B,1.13B
QDEL,5.47B,13.39%,37.47M,42.51M
QELL,472.50M,3.37%,37.95M,47.44M
QELLU,-,0.00%,34.93M,-
QFIN,5.90B,2.61%,99.82M,152.44M
QH,209.59M,0.55%,2.96M,43.30M
QIWI,667.87M,8.54%,11.88M,62.77M
QK,64.61M,0.48%,37.85M,42.61M
QLGN,57.10M,5.91%,25.76M,28.17M
QLI,148.71M,0.24%,8.06M,36.27M
QLYS,3.95B,13.35%,33.64M,39.21M
QMCO,404.71M,1.57%,54.08M,57.09M
QNST,997.25M,2.23%,49.09M,53.43M
QQQ,-,-,-,-
QQQJ,-,-,-,-
QRTEA,5.32B,5.91%,367.74M,411.00M
QRTEB,95.38M,-,-,7.08M
QRTEP,-,0.01%,368.54M,-
QRVO,21.49B,2.49%,110.74M,113.26M
QSI,1.64B,-,-,14.78M
QTEC,-,-,-,-
QTNT,374.60M,7.11%,76.01M,101.01M
QTRX,2.16B,3.12%,33.80M,34.44M
QTT,554.51M,5.37%,157.38M,299.55M
QUIK,77.29M,2.85%,11.23M,11.26M
QUMU,49.80M,0.83%,11.69M,16.44M
QURE,1.44B,8.71%,40.02M,45.47M
QYLD,-,-,-,-
RAAC
RAACU,-,0.00%,21.43M,-
RADA,580.54M,2.22%,43.52M,45.14M
RADI,1.11B,3.10%,48.41M,59.48M
RAIL,94.27M,8.95%,11.87M,20.00M
RAIN,429.28M,4.55%,7.48M,27.05M
RAMMU,-,-,-,-
RAPT,881.14M,7.45%,16.50M,24.84M
RARE,6.35B,7.65%,64.61M,67.10M
RAVE,26.81M,0.16%,16.00M,17.99M
RAVN,2.07B,1.65%,35.37M,36.04M
RBBN,1.12B,1.97%,118.41M,145.94M
RCAT,82.91M,0.28%,11.11M,26.23M
RCEL,510.45M,-,-,22.73M
RCHGU,-,0.03%,18.09M,-
RCII,3.60B,2.50%,60.55M,66.31M
RCKT,2.93B,13.83%,57.63M,61.57M
RCLFU,-,0.01%,25.13M,-
RCM,6.21B,3.50%,133.25M,239.29M
RCMT,45.20M,1.16%,8.08M,11.54M
RCON,107.28M,9.57%,4.98M,7.33M
RDFN,6.72B,10.34%,98.75M,103.43M
RDHL,333.09M,5.22%,34.99M,42.96M
RDNT,1.81B,2.53%,45.03M,51.95M
RDUS,862.16M,11.29%,46.76M,46.98M
RDVY,-,-,-,-
RDWR,1.41B,5.53%,37.84M,46.23M
REAL,1.85B,18.43%,84.65M,90.04M
REDU,146.31M,0.22%,20.37M,56.48M
REED,93.62M,1.28%,85.12M,86.63M
REFR,74.10M,9.10%,27.09M,31.64M
REG,11.01B,2.50%,167.64M,168.03M
REGI,3.01B,7.21%,46.56M,47.66M
REGN,61.21B,1.89%,101.56M,105.40M
REKR,420.16M,12.93%,30.58M,35.94M
RELI,39.91M,2.85%,5.02M,7.54M
RELL,110.51M,0.78%,10.12M,13.21M
REPH,97.60M,5.59%,25.04M,29.74M
REPL,1.83B,5.60%,41.81M,51.69M
RESN,190.29M,11.62%,56.72M,59.78M
RETA,5.19B,11.72%,29.83M,36.20M
RETO,29.90M,0.36%,11.79M,24.63M
REVHU,-,-,-,-
REYN,6.32B,6.02%,54.20M,209.70M
RGCO,207.68M,2.96%,7.22M,8.22M
RGEN,10.97B,3.36%,51.06M,54.80M
RGLD,7.51B,3.02%,65.37M,65.55M
RGLS,61.80M,8.31%,71.22M,71.29M
RGNX,1.68B,9.98%,37.12M,41.82M
RHE,21.56M,12.05%,1.51M,1.69M
RIBT,49.10M,1.05%,42.49M,45.63M
RIDE,1.83B,22.57%,111.08M,174.32M
RIGL,765.71M,14.30%,169.80M,169.80M
RILY,2.11B,7.73%,15.46M,26.97M
RILYT
RING,-,-,-,-
RIOT,3.05B,25.10%,70.33M,83.16M
RIVE
RKDA,60.19M,5.18%,19.59M,21.34M
RLAY,3.51B,9.46%,88.58M,90.20M
RMBI,192.47M,3.20%,11.02M,11.69M
RMBL,136.70M,0.79%,1.99M,2.30M
RMBS,2.63B,3.98%,110.86M,112.21M
RMCF,47.20M,0.05%,4.97M,6.07M
RMED,24.59M,-,-,2.92M
RMGB,435.06M,1.51%,34.50M,43.30M
RMGBU,-,0.00%,28.71M,-
RMGCU,-,-,-,-
RMNI,537.23M,3.92%,32.70M,78.73M
RMTI,82.35M,9.04%,90.73M,93.59M
RNA,895.20M,19.12%,33.49M,37.52M
RNLX,1.11B,1.53%,32.24M,36.02M
RNST,2.26B,4.71%,54.26M,56.24M
RNWK,110.70M,3.73%,30.02M,38.50M
ROAD,1.64B,2.51%,34.02M,51.69M
ROCC,145.57M,1.23%,8.28M,14.65M
ROCCU,-,0.00%,10.58M,-
ROCR
ROCRU,-,0.00%,5.33M,-
ROIC,2.13B,3.42%,115.67M,117.74M
ROKU,57.68B,3.26%,114.93M,129.67M
ROOT,2.51B,27.09%,53.27M,247.10M
ROST,44.64B,0.97%,349.48M,352.99M
RPAY,2.14B,9.47%,73.93M,76.60M
RPD,5.29B,9.21%,51.22M,52.91M
RPHM,229.46M,3.41%,23.65M,24.70M
RPRX,25.63B,12.36%,108.57M,383.99M
RRGB,525.35M,12.48%,13.86M,15.58M
RRR,5.01B,4.80%,65.32M,70.73M
RSLS,32.59M,28.23%,0.52M,3.15M
RSSS,73.00M,0.04%,16.37M,26.03M
RSVA,707.00M,3.69%,23.00M,28.75M
RSVAU,-,0.01%,19.97M,-
RTLR,1.64B,1.04%,40.27M,41.74M
RTPY,1.21B,0.18%,85.00M,122.68M
RTPYU,-,-,-,-
RUBY,2.31B,12.56%,39.22M,82.31M
RUN,11.46B,17.78%,196.84M,202.56M
RUSHA,2.34B,1.17%,48.50M,55.57M
RUTH,816.23M,2.39%,33.02M,34.28M
RVMD,2.45B,17.82%,49.77M,70.42M
RVNC,2.19B,4.68%,65.68M,66.64M
RVPH,82.49M,1.18%,5.92M,17.23M
RVSB,156.17M,6.00%,20.86M,22.35M
RWLK,78.40M,0.99%,45.15M,46.12M
RXDX,1.05B,1.29%,25.32M,38.77M
RXRAU,-,-,-,-
RXRX,6.06B,2.40%,140.09M,165.07M
RXT,4.17B,10.96%,61.40M,204.60M
RYAAY,21.67B,0.23%,215.31M,225.24M
RYTM,1.04B,10.84%,35.45M,47.64M
RZLT,114.07M,0.32%,4.49M,8.35M
SABR,4.02B,18.95%,316.00M,317.63M
SAFM,4.17B,1.73%,20.13M,22.02M
SAGE,3.36B,8.11%,51.21M,58.37M
SAII,214.52M,4.41%,6.44M,21.56M
SAIIU
SALM,69.91M,3.75%,11.21M,26.74M
SAMG,228.69M,3.14%,8.19M,9.65M
SANA,3.58B,4.52%,77.38M,119.13M
SANM,2.54B,4.14%,63.63M,65.25M
SASR,2.10B,1.30%,45.92M,47.12M
SATS,2.22B,16.54%,40.84M,93.87M
SAVA,3.55B,10.05%,37.41M,37.72M
SBAC,35.00B,1.63%,108.12M,109.47M
SBBP,201.40M,3.17%,58.84M,67.38M
SBCF,1.89B,2.00%,54.39M,55.27M
SBEAU,-,-,-,-
SBGI,2.45B,9.07%,47.84M,74.39M
SBLK,2.18B,0.72%,88.62M,98.71M
SBNY,14.44B,2.31%,55.60M,57.79M
SBNYP,-,0.01%,55.60M,-
SBRA,3.97B,2.55%,213.15M,215.93M
SBT,228.40M,3.44%,24.09M,49.85M
SBTX,1.13B,10.41%,31.86M,34.77M
SBUX,133.63B,1.03%,1.18B,1.18B
SCAQU,-,-,-,-
SCHL,1.30B,2.48%,25.06M,34.30M
SCHN,1.35B,2.23%,25.67M,28.05M
SCKT,45.19M,2.48%,5.73M,6.48M
SCLEU,-,0.05%,32.25M,-
SCOA,701.49M,0.21%,57.50M,71.88M
SCOAU,-,-,-,-
SCOBU,-,-,-,-
SCOR,402.60M,5.85%,67.01M,76.15M
SCPH,195.58M,1.38%,25.04M,27.34M
SCPL,2.10B,11.41%,21.97M,23.20M
SCPS,107.93M,1.70%,7.91M,15.34M
SCR,971.11M,0.87%,26.71M,50.34M
SCVL,1.02B,13.17%,8.12M,14.13M
SCYX,155.28M,18.24%,19.88M,25.80M
SCZ,-,-,-,-
SDACU,-,-,-,-
SDC,3.25B,29.22%,103.56M,387.52M
SDGR,5.40B,11.13%,40.13M,70.07M
SDH,81.19M,0.11%,11.39M,25.06M
SEAC,60.00M,3.89%,40.59M,41.31M
SECO,170.69M,0.20%,22.42M,70.65M
SEDG,14.29B,3.66%,51.44M,51.73M
SEED,49.24M,3.12%,3.90M,5.26M
SEEL,290.21M,3.74%,74.77M,102.23M
SEER,1.88B,10.72%,41.83M,59.89M
SEIC,8.92B,1.59%,118.24M,143.20M
SELB,495.78M,8.64%,80.56M,110.74M
SENS,1.50B,25.88%,316.78M,364.27M
SESN,783.32M,5.38%,173.24M,173.29M
SFET,36.31M,0.28%,22.91M,26.12M
SFIX,6.75B,16.78%,69.37M,106.70M
SFM,3.00B,13.79%,117.73M,118.04M
SFNC,3.20B,3.10%,106.62M,108.21M
SFT,728.69M,14.88%,66.12M,77.91M
SGAM,179.70M,0.17%,14.38M,17.97M
SGAMU,-,0.00%,14.37M,-
SGBX,48.32M,10.42%,7.43M,8.74M
SGEN,28.72B,1.76%,180.24M,181.15M
SGH,1.13B,9.36%,16.52M,24.22M
SGLB,40.31M,7.81%,9.60M,10.49M
SGMA,21.30M,0.06%,3.30M,4.26M
SGMO,1.73B,11.54%,118.93M,143.11M
SGMS,7.38B,7.18%,90.45M,95.00M
SGOC,262.56M,0.99%,30.54M,100.60M
SGRP,28.70M,0.47%,8.27M,21.19M
SGRY,3.90B,20.72%,9.29M,54.77M
SGTX,334.51M,1.48%,24.52M,31.49M
SHACU,-,0.00%,23.00M,-
SHBI,198.15M,8.15%,11.48M,11.74M
SHC,6.89B,0.78%,274.70M,278.83M
SHEN,2.46B,1.77%,47.95M,49.95M
SHIP,190.40M,4.75%,148.53M,156.22M
SHLS,5.87B,8.02%,93.10M,160.28M
SHOO,3.61B,3.42%,77.71M,79.04M
SHQAU,-,-,3.87M,-
SHSP,217.44M,1.29%,11.80M,12.81M
SHV,-,-,-,-
SHY,-,-,-,-
SHYF,1.35B,3.36%,32.11M,35.31M
SIBN,1.05B,3.31%,32.21M,32.69M
SIC,261.30M,0.22%,20.66M,25.49M
SIEB,146.10M,6.57%,10.51M,31.17M
SIEN,453.82M,17.73%,56.79M,57.52M
SIFY,648.81M,1.03%,176.73M,181.74M
SIGA,470.81M,3.86%,43.69M,76.76M
SILK,1.65B,5.41%,33.22M,34.34M
SIMO,2.17B,3.06%,29.59M,34.43M
SINO,49.40M,4.59%,14.39M,14.96M
SINT,43.40M,2.10%,23.30M,24.67M
SIOX,187.80M,2.56%,50.71M,52.68M
SIRI,26.88B,17.37%,889.31M,4.14B
SITM,2.32B,3.94%,12.56M,17.87M
SIVB,30.68B,1.55%,54.04M,54.32M
SJ,194.42M,1.73%,2.27M,30.58M
SKIN,2.26B,-,-,57.50M
SKOR,-,-,-,-
SKYAU,-,-,-,-
SKYT,1.08B,1.98%,7.58M,39.06M
SKYW,2.25B,2.39%,49.35M,50.29M
SKYY,-,-,-,-
SLAB,6.79B,3.52%,43.97M,44.16M
SLAMU,-,-,-,-
SLCRU,-,0.01%,34.50M,-
SLCT,279.43M,3.30%,13.59M,17.39M
SLDB,415.80M,7.71%,78.24M,89.27M
SLGG,121.49M,7.35%,21.76M,35.72M
SLGN,4.56B,2.42%,83.44M,110.21M
SLM,6.78B,2.97%,315.49M,361.04M
SLNO,89.30M,7.24%,62.23M,79.69M
SLP,1.12B,13.99%,15.57M,20.01M
SLQD,-,-,-,-
SLRX,49.50M,4.58%,40.91M,44.77M
SLS,140.69M,4.57%,15.06M,15.45M
SLVO,-,-,-,-
SMCI,1.77B,2.06%,42.50M,50.55M
SMED,171.94M,9.11%,13.56M,16.56M
SMH,-,-,-,-
SMIHU,-,-,-,-
SMMT,778.88M,1.57%,25.21M,82.58M
SMPL,3.56B,3.32%,84.29M,95.73M
SMSI,274.99M,3.52%,46.07M,53.20M
SMTC,4.42B,2.16%,63.99M,65.09M
